"date","stage","team"
1,"올댓재즈","Saha Lee Band"
1,"올댓재즈","박주원 Electric Band"
2,"올댓재즈","이용석 Quintet"
2,"올댓재즈","The Triad"
2,"에반스","오영준Quartet"
3,"올댓재즈","정광진 Band"
3,"올댓재즈","차유빈 Trio"
3,"에반스","박선영Quartet"
4,"올댓재즈","Cray K Quintet"
4,"올댓재즈","전영세 Trioˇ"
5,"올댓재즈","김이슬 Trio+1"
5,"올댓재즈","김지훈 Jazz Band"
6,"올댓재즈","김영구 Trio"
6,"올댓재즈","이지영 New Trio+1"
6,"에반스","서인혜 쿼텟 + 한석규"
7,"올댓재즈","김준범 Trio+1"
7,"올댓재즈","Vian Trio"
7,"에반스","엄기응Quartet"
8,"올댓재즈","Wave"
8,"올댓재즈","류복성 Band"
8,"에반스","최경식Quartet"
9,"올댓재즈","Kuma Park"
9,"올댓재즈","YWCQ"
9,"에반스","The Burgundy (더 버건디)"
10,"에반스","메인 스트릿"
11,"올댓재즈","TBA"
11,"올댓재즈","임미정 Quartet"
11,"에반스","Super Jam Day"
12,"올댓재즈","김현일 Quartet"
12,"올댓재즈","Oshio Quartet"
12,"에반스","Urban Jam Day"
13,"올댓재즈","이준삼 Quartet"
13,"올댓재즈","JB Liberation Amalgamation B .."
14,"올댓재즈","Dirty Blend"
14,"올댓재즈","조남열 Quartet"
15,"올댓재즈","김홍기 Acous .."
15,"올댓재즈","이지영 Project"
16,"올댓재즈","HG Funktronic .."
16,"올댓재즈","Jin Kim the Jazz Unit"
17,"올댓재즈","NM Big Band"
17,"올댓재즈","김창현 Band"
18,"올댓재즈","CK Trioˇ"
18,"올댓재즈","이종헌 Quintet"
19,"올댓재즈","고재규 Trio+1"
19,"올댓재즈","신소이 Quintet"
20,"올댓재즈","TBA"
20,"올댓재즈","정란 Quartet"
21,"올댓재즈","혁 Band"
21,"올댓재즈","The Burgundy"
22,"올댓재즈","Pete Jung Ko .."
22,"올댓재즈","Wave"
23,"올댓재즈","JHG"
23,"올댓재즈","Yangbro Soul Factory"
24,"올댓재즈","정중화 Quintet"
24,"올댓재즈","TBA"
25,"올댓재즈","TBA"
25,"올댓재즈","KC Bridge"
26,"올댓재즈","허소영 Band"
26,"올댓재즈","김참치 Trio"
27,"올댓재즈","박재홍 Band"
27,"올댓재즈","이승원 Quartet"
28,"올댓재즈","TBA"
28,"올댓재즈","한승민 Quintet"
